code,label,subcategory,feedback,space
sa,Staff,Attitude Of Staff,"Nice staff, good advice for illnesses & feeling unwell",8
cm,Care received,Medication ,"Vaccinations, nurses, doctors",2
mi,Communication,Amount/clarity of information,"Quick <informing?> N/a nurse who <?> my dressings, informative on dressings for me",12
sa,Staff,Attitude Of Staff,Helpful staff,1
mi,Communication,Amount/clarity of information,Explained everything clearly,2
mm,Communication,Communication,"Very good communication, nice informative person. More than happy with Elderly RRLP Team",12
mm,Communication,Communication,"Communicated well. Grace listened to me, kept me well informed, very ha[[y with RRLP",13
cc,Care received,Care received,Happy with service. Has a CPN now & happy,8
cs,Care received,Advice and support,"Advice given was invaluable to help care for mum. Faye (my contact) was brilliant with help, advice & information as well as sending me information. Thanks you all",27
cs,Care received,Advice and support,All advice & understanding,3
ss,Staff,Staff: General,"Kayleigh & Phil are brilliant, they have helped my daughter so much through her illness. Can't thank them enough",18
mi,Communication,Amount/clarity of information,"Listening to us, providing the support we needed. Keeping in touch well, very caring & patient-centered",15
mi,Communication,Amount/clarity of information,"Good listeners, barely have a break",5
cc,Care received,Care received,"Always there to support, fast in picking up referrals & supporting the home, action completed have been very successful",18
sa,Staff,Attitude Of Staff,The woman who did my CBT was very nice and understanding.,10
sa,Staff,Attitude Of Staff,"Staff were very kind and helpful, and made it possible for me to go home.",14
wa,Access,Time spent waiting for first appt/referral/service,"Everything was good, very quick access, staff were very supportive, and put me at ease throughout.",15
cr,Care received,Rules/approach to care,I liked the telephone triage.,4
ss,Staff,Staff: General,"My brother attends Horizon Day Centre. The staff are excellent in managing my brother, especially with a number of challenging needs due to Autism/Bipolar disorder. Additionally, my brother has Coeliac disease and this, in addition to the mental health, is another crucial element of my brothers management. The staff are excellent, at noticing any issues that may trigger a cycle of challenging mental health.  I see the staff as an extension of my family, and find it easy to discuss any matters relating to my brother.",86
xn,Couldn't be improved,Nothing to improve,I can't think of anything good about my whole experience. It isn't worth the hassle dealing with such an incompetent team who make you feel worse. Never again!,27
ap,Access,Provision of services,You seem to exist.,3
mm,Communication,Communication,"Excellent emergency placement/support, whilst I was in hospital and the recovery time after operation. Horizon supported above and beyond to ensure my son had continued support throughout this difficult time. Horizon always supports me and my son with his hospital appointments. This really helps me and my son in case he gets anxious. Horizon always help my son understand what is going on, through accessible information-pictures, symbols, social stories.",68
xn,Couldn't be improved,Nothing to improve,Absolutely nothing. The whole experience was very distressing.,7
sp,Staff,Professionalism/Competence Of Staff,"The two Nurses, Neil & Tracey, are highly professional at what they have taught me. They made the sessions very enjoyable. Would Recommend them very highly.",25
sa,Staff,Attitude Of Staff,"I slept very well every night of my stay on Kingsley ward (without medication). The food was very good, and the staff were very friendly and kind.",26
cp,Care received,Physical care,"I feel my physical health has improved, and the team was very kind in offering help.",15
sp,Staff,Professionalism/Competence Of Staff,"Everything from the first contact by phone, was superb, professional, super friendly and easily understood.",14
ce,Care received,Emotional care,"The positive and helpful dialogue that I established with the Counsellor, which encouraged me to open up about my problems.",19
cr,Care received,Rules/approach to care,"First class team! I was so impressed by the information and the instructions, which I found easy to follow. Best of all, the overall positive attitude to everything really raised my spirits, and enabled me to make progress. I was delighted that such a service was available, and it has made a great difference to my life.",56
sp,Staff,Professionalism/Competence Of Staff,"Since I was discharged from hospital, I have received daily visits from the District Nurse Team. I have been impressed that all the nurses have shown a high level of professionalism and support for me. They explain how they are managing my wound and are encouraging me to make a full recovery. It's a daily visit I look forward to having.",60
dp,Dignity,Involvement: Of Service Users/Patients,"Despite the barriers due to lockdown restrictions, I have received impeccable care and treatment from the podiatry team. I've been sent for investigations and the results have been reviewed promptly. I've had several treatment options and each one has been explained in great detail, and I was very involved in treatment planning. I have been given an abundance of information on my condition and I have been very well informed every step of the way. Every staff member I have come into contact with (podiatrists, podiatric surgeons and the team on the appointment line) have been kind, attentive and professional. I can't thank you all enough, you've been incredible.",108
xn,Couldn't be improved,Nothing to improve,Nothing at all.,2
sp,Staff,Professionalism/Competence Of Staff,The reception staff were always professional and kind when I rang the Hope Centre.,13
sa,Staff,Attitude Of Staff,Politeness.,0
sa,Staff,Attitude Of Staff,"I have been attending for 4 and a half years and I have no complaints. Everyone has been kind, I have seen a variety of different Podiatrists.",26
mi,Communication,Amount/clarity of information,Information was delivered in an easy to understand manner. Time was taken to listen to our issues and answer our questions. Friendly and professional course leaders made even scary health complications seem manageable and/or avoidable.,34
cc,Care received,Care received,"The staff were great at letting me go off for fresh air. I was able to get off the ward when I needed the break from the ward. The nursing staff were amazing at keeping me well, and sending me to the general hospital when I was very ill.",48
ss,Staff,Staff: General,Nice people and pleasant to talk to.,6
dp,Dignity,Involvement: Of Service Users/Patients,"I was included in all aspects of my care. I had the reasons behind each option explained, and was included in all decision making.",23
cr,Care received,Rules/approach to care,"The way I wasn't rushed to tell my therapist anything I didn't want to, or wasn't ready to say, and I was made completely comfortable. I was told I can end sessions at any point and the information & advice was great it's really helped me",45
cc,Care received,Care received,The simplicity of the course.,4
sp,Staff,Professionalism/Competence Of Staff,"I found all the staff to be professional, friendly and helpful. They all work hard to make our stay as easy as possible. Single rooms for everyone is the way forward, as is the new building currently being discussed with en suites.",41
dp,Dignity,Involvement: Of Service Users/Patients,"Very good with including me with my care and treatments, for example if I want to change my days activities it can always facilitated within reason.",25
ss,Staff,Staff: General,Sarah was very patient and a good listener. Sarah was encouraging and supportive. I listened to each technique and developed as the weeks went by. I only needed 5 sessions to feel so much better.,34
ml,Communication,Listening,"By listening and giving positive advice together with a concerned,  Understanding.
Excellent all round.",13
cs,Care received,Advice and support,"Explanations given by the DESMOND team re: my type 2 diabetes, as to how to change my lifestyle habits around eating and exercise.",22
cc,Care received,Care received,Phone answered quickly.,2
sp,Staff,Professionalism/Competence Of Staff,"I had 3 x appointments with Dr Rita. I received follow-ups as agreed and this was accommodated to my needs, e.g. using alternatives to standard video calling software. I was provided with lots of insight and Rita ensured that I understood any complicated concepts by checking with me. I was also offered an additional appointment to cover additional questions that I had relating to diagnosis. Rita was extremely knowledgeable and she is a credit to your team/service.",76
ss,Staff,Staff: General,The receptionists are lovely.  Phones answered quickly.,7
ss,Staff,Staff: General,"They listened to me about my problems with continence. They explained how I could have improvements. They loaned me a stim machine and followed up with biofeedback machine to monitor my progress. They also supported me while I was trying to improve my continence. They were kind and supportive always and I was able to get support from them between appointments. The main nurse I saw was Vanessa who was always kind and supportive and gave me real hope that I would improve. I also saw Hayley a few times, who was also very good and kind and who referred me on to Vanessa to get more help with the stim machine.  Continence is difficult to talk about and makes a difference when ageing. I am 69 and active but my continence issues were depressing and made me dread getting older.",141
cs,Care received,Advice and support,Encouraged me to get my jobs done.,6
ss,Staff,Staff: General,"Lisa the activities coordinator was very good at keeping myself and other patients busy, she got us knitting, doing crafts and painting with water colours and even got me doing the Millbrook mile. She was very kind and went above and beyond her role on the ward.",46
sa,Staff,Attitude Of Staff,The staff were very friendly and helpful with me.,8
cc,Care received,Care received,Overall great service.,2
xn,Couldn't be improved,Nothing to improve,Nothing. ,1
ss,Staff,Staff: General,"The manager has been fair to me, helping me with leave. Helping me to understand situations.",15
ee,Environment/ facilities,Environment/ facilities,Friendly environment. Could go outdoors for cigarettes. Food nice. Been able to go to shop and for walks to main hospital.,20
sa,Staff,Attitude Of Staff,Huge thank you to Dr Croft and Dr Bohane (sorry if I spelt that wrong). Who have supported my family and I to get through some very rough times. I will always be thankful for your care and compassion.,38
cc,Care received,Care received,Everything was fine.,2
cc,Care received,Care received,Not sure but good service.,4
ss,Staff,Staff: General,"When I went into the MH department, I was greeted by two staff members who have really supported me. And a lady called, Jo. They was much help.",27
sp,Staff,Professionalism/Competence Of Staff,On time and professional. Both Dr Powar and Lucy provided a comfortable and safe environment for the appointment to take place. No ideas on how to...,25
cc,Care received,Care received,Service excellent.,1
cc,Care received,Care received,"The whole process from start to finish was excellent .  Julie was exceptional.  She made a traumatic event in my life seem straight forward and ordered with her calm, knowledgeable and professional manner.  Thank you",37
ss,Staff,Staff: General,Staff.,0
mi,Communication,Amount/clarity of information,Very informative.,1
sa,Staff,Attitude Of Staff,"The empathy shown towards my son throughout his therapy was second to none, and I cannot believe the person he is today, due to the support and care he has received under CAMHS, and his own hard work!",37
cr,Care received,Rules/approach to care,"It's quicker and convenient.
Results and transfer back to Doctor.",8
ca,Care received,Activities,"Gym (when open, COVID)
Staff (Most)",4
ca,Care received,Activities,"Bee Care
Animals
Horticulture. ",2
ca,Care received,Activities,"Window cleaning group
Horticulture
Animals",2
cc,Care received,Care received,Good care plan from the beginning. ,6
cc,Care received,Care received,Learning more about my Mental Health.,5
ss,Staff,Staff: General,Staff.,0
mm,Communication,Communication,How they explained what my illness is and how I understood for first time.,13
ds,Dignity,Feeling safe including bullying,I have enjoyed the protection from being in hospital and safety.,10
cs,Care received,Advice and support,"Opportunities to improve myself. 
Lots of encouragement. ",7
ca,Care received,Activities,"Horticulture. 
Farm animals.
Leave.
Most Staff. 
Some food good.",6
cc,Care received,Care received,"Helped with breathing.
Excellent patient care.",4
cc,Care received,Care received,Caring for me.,2
ss,Staff,Staff: General,I know Marie she is alright and easy to talk to.,10
ss,Staff,Staff: General,Mum expressed to another professional the day after the visit who feedback to me how "thorough helpful and down to earth the nurse was who seen her son on Monday AM",30
ml,Communication,Listening,"Thank you, you have listened and I feel able to talk to you openly about any issues with my children",19
cc,Care received,Care received,I always felt that my best interest and overall my general well being has always been considered. 8/10,17
ss,Staff,Staff: General,In my experience my doctor was very good at understanding me and my concerns.  I felt in the know after very ward round. Staff as a general are good at what they do.,33
ml,Communication,Listening,Dr's and nurses have listen to my concerns and give me reassurance. ,12
ss,Staff,Staff: General,My Dr has done a lot for me. Dr Madelson & Jaspe,11
ee,Environment/ facilities,Environment/ facilities,Relationships with staff & peers. ,5
xn,Couldn't be improved,Nothing to improve,Not much. ,2
sa,Staff,Attitude Of Staff,Staff are kind and caring. ,5
ss,Staff,Staff: General,"Anni was a great powerful help, as mine keyworker.  I'm grateful that I'm had her as an carer worker. I'm as an caretaker need to say their did a wonderful job.",31
ef,Environment/ facilities,Food,Smoothies. ,1
ml,Communication,Listening,My CPN Eileen couldn't have done more.  She always listened and supported me. I will be lost without her. ,20
mm,Communication,Communication,Communication. ,1
ss,Staff,Staff: General,"Michelle comes each week, does a wonderful job with exercises and breathing exercises. Most wonderful lady, very kind, does a great job.  Many thanks. ",25
ss,Staff,Staff: General,"Amanda and Emma, who is a student, came when I was ill.  They sored everything out, Dr, Tables and my meals. ",22
sa,Staff,Attitude Of Staff,The food.  The staff were friendly. The cleaning. ,9
sa,Staff,Attitude Of Staff,"The sympathy and kindness of every IHTT member who helped me enormously. 
Everything was done with courtesy.",16
sa,Staff,Attitude Of Staff,Very caring & helpful. ,4
mm,Communication,Communication,"Communication between staff and myself, arriving on time and taking time to listen.",12
ml,Communication,Listening,"Spending time listening to everything that I said, able to answer questions when asked. ",14
ss,Staff,Staff: General,"Look forward to all staff coming, enjoy their company and can get things off my chest. ",16
sa,Staff,Attitude Of Staff,"Very kind, always had time to sit & listen, always on time. ",12
cs,Care received,Advice and support,"Re: Dementia diagnostic service. 
The diagnostic service and support given was excellent. 
Miss Jenna was very supportive giving clear instruction and explanations, she was very understanding.",25
ss,Staff,Staff: General,"The practitioners were very responsive, understanding and easy to get on with.",11
ss,Staff,Staff: General,Easy to talk too. Pleasant appearance.  Nicky very easy to talk too and understating.  Nothing too much trouble.,19
mm,Communication,Communication,Nicky & Fay were very good at explaining my situation to me in a way which was easy for me to understand. ,22
sa,Staff,Attitude Of Staff,"The service from the TMS team was amazing.  Jog, Suzanne & Lea were very welcoming and friendly, explaining everything & going the extra mile to make sure the treatments was as it could be.  Thank you all so much.",40
cc,Care received,Care received,Very good service. ,3
ml,Communication,Listening,Amazing - Listened. ,3
mm,Communication,Communication,"Nice to talk to someone with some sense, lovely ladies.",9
dp,Dignity,Involvement: Of Service Users/Patients,"Happy with all care and involvement, lots of information given.  Very friendly.",12
ss,Staff,Staff: General,"Excellent, I did not understand at first all a lot to take in but staff really made me feel at ease and gave me lots of information, thank your staff so much. ",32
sa,Staff,Attitude Of Staff,"Staff friendliness. 
Food.
Staff always wanted to help and always there for a chat. ",13
mm,Communication,Communication,"Talking to may people & being able to listen to others. 
Care, compassion , love. ",15
cc,Care received,Care received,The treatment was all round good and the staff showed me a lot of care. ,15
cc,Care received,Care received,Was nice.,1
ss,Staff,Staff: General,Friendly nurse and kind.,3
sa,Staff,Attitude Of Staff,Always made welcome. Bereavement drop in session,6
sa,Staff,Attitude Of Staff,Support on ward. Listening to thoughts and ideas. Treating us with kindness and respect.,13
ml,Communication,Listening,"Listening to my thoughts. Granting unescorted leave, so can be on road to recovery. Least restrictive practice.",16
ml,Communication,Listening,Learning skills such as cooking. Being listened to. Support from nursing team.,11
cs,Care received,Advice and support,Seeing people get discharged. Supportive and understanding team. Activities on ward.,10
cc,Care received,Care received,Keeping me safe and well. Having people to chat to openly about stuff on ward.,14
ce,Care received,Emotional care,"It has given me a better understanding of my mental health condition, and I feel I am better prepared for it now.",21
xl,Miscellaneous,Leave (under MHA),Getting some leave.,2
cs,Care received,Advice and support,"Just the service has been supportive so far, make me feel confident in myself. 
My intelligence is increasing, can talk to people.
Everything is fine. Perfect conditions.",25
ca,Care received,Activities,I enjoy the farm and leave.,5
cc,Care received,Care received,The whole experience has been overall good.,6
cs,Care received,Advice and support,"Good support and care, nice HCAs and nurses.",7
co,Care received,1-2-1 care/Time spent with service user,"That the managers listened to me, and had the time to meet with me when I asked, even if they wasn't on the ward.",23
xe,Miscellaneous,Everything was good/bad,"Everything was good. I felt better about things afterwards.
Good explanations.",9
xn,Miscellaneous,Nothing to improve,Nothing. ,1
mm,Communication,Communication,"Making me feel good, easy to talk to, and very helpful.",10
ss,Staff,Staff: General,"Fantastic staff, especially psychologist George. Lots of activities.",7
ss,Staff,Staff: General,"Having broken my foot, and receiving no after-care input from the hospital, did a self referral to the MSK Team. Gaynor was brilliant, asked loads of questions about the injury, gave me reassurance, and some good exercises. Recovery was good, meaning I could get back into work within the community quicker.
Very beneficial.",51
cc,Care received,Care received,"The time Natalie took to understand my daughter, and her needs.",10
aa,Access,General,"The staff were very good, and gave me the information that I needed.",12
ca,Care received,Activities,"I was able to do a lot of knitting while I was on the ward, and made friends with patients and staff, the staff as much as they could.",28
cc,Care received,Care received,"I was glad to get the assessment. I did and the conversation with the doctor, was helpful and felt thorough.",19
ss,Staff,Staff: General,The whole process was fairly smooth. The doctor was good at explaining things and listening.,14
ml,Communication,Listening,She listened.,1
cc,Care received,Care received,Outstanding care and patience. Supporting and nurturing on bad days always positive and compassionate to my needs.,16
ss,Staff,Staff: General,"The staff were very helpful and not just with my mental health, but also with my physical health as well; making sure that I got the treatment that I needed, from the general hospital, and also kept my family in the loop as well.",43
ss,Staff,Staff: General,"Everything I asked was never too much trouble, and even when I was at my worst, the staff always was there to help me. Lisa, the activities coordinator, helped me and went above and beyond her role. She went to get me a paper every day, and if I needed anything while I was in hospital, she would go out and get it for me. Staff very kind.",67
sp,Staff,Professionalism/Competence Of Staff,"However, I would like to thank Paul X for being diligent and scientific in his approach which led to as suitable medication for an increase in Dopamine A condition, rather than a mental health in contextual meaning.",36
cc,Care received,Care received,Total service.,1
ap,Access,Provision of services,"The way when I presented problems, within mins a resolve was reached and implemented.",13
sp,Staff,Professionalism/Competence Of Staff,"District Nurse Sharon came to my father's house (ADDRESS REDACTED) last DATE REDACTED as my father had a blocked catheter. Her kindness, professionalism and efficiency could not be bettered. She was so helpful and sorted out the problem so quickly. I can't praise her enough. Sadly we never knew her surname but I do hope she sees this feedback.",58
cc,Care received,Care received,Everything about it. I was very happy with the explanations and listened to. The nurse Tina was very kind and gently spoken.,21
mi,Communication,Amount/clarity of information,"Everything was explained clearly, and very good advice given. Felt relieved to be listened to and cared about.",17
cr,Care received,Rules/approach to care,"Certain staff, mainly male healthcare; were very helpful and understanding.",9
cc,Care received,Care received,Made me feel reassured and comfortable.,5
ml,Communication,Listening,"My mental health is not good neither is my pain . Mark as been fantastic and listened to me where no one else has. I've never had the right treatment because I'm fobbed off constantly, Mark is great to talk to.",40
ss,Staff,Staff: General,Dr Jolly and Zoe are great.,5
cc,Care received,Care received,Service was very good.,3
ss,Staff,Staff: General,Abbi my support worker from Stonebridge is an angel in disguise.,10
ss,Staff,Staff: General,Phil brilliant and understanding. Nothing is too much trouble.,8
xn,Couldn't be improved,Nothing to improve,Not really,1
ce,Care received,Emotional care,"Put mind at rest on certain thing's and understanding to my needs, Trace and Zoey.",14
ss,Staff,Staff: General,Excellent staff.,1
cm,Care received,Medication ,Fast with sorting out last minute prescriptions. ,7
sa,Staff,Attitude Of Staff,Natasha is very caring and understanding. She is a good listener and gives advice well for next steps.,17
ss,Staff,Staff: General,Friendly centre staff.,2
mi,Communication,Amount/clarity of information,State which session number each is for therapy and how many sessions are left. Helps to make plans,17
sa,Staff,Attitude Of Staff,Sympathetic to my specific problems.,4
cc,Care received,Care received,Got no problems with assessment.,4
ss,Staff,Staff: General,Dr Davis and all the team. Thanks. GOD BLESS ALWAYS.,9
ss,Staff,Staff: General,"Shelley, Peter and all the staff at East Mental Health Team at the Stonebridge Centre, have been excellent at support me with my mental health. Thank you. You all deserve a big medal.",32
ss,Staff,Staff: General,Excellent service by all staff.,4
cc,Care received,Care received,No not really. You all do an amazing job. Thank you.,10
ss,Staff,Staff: General,Receptionist and doctor very good. ,5
ml,Communication,Listening,"Always on time. 
Calm voice. 
Always listening.",6
mm,Communication,Communication,"They explained very well, went over if did not understand.",9
ce,Care received,Emotional care,"Mr Richards was understanding of my situation, and helped steer me through it to solve my problems and come to terms with the solution. ",24
cr,Care received,Rules/approach to care,Face to face appointments.,3
ss,Staff,Staff: General,Debbie helped a lot. ,4
ml,Communication,Listening,Listen and understand.,2
ml,Communication,Listening,Listening to people and giving them time to get to know you before opening up about mental health. ,18
xn,Couldn't be improved,Nothing to improve,Not really,1
sa,Staff,Attitude Of Staff,All the staff I saw very kind in what was a very stressful time.,13
xe,Miscellaneous,Everything was good/bad,No everything was fine xx,4
ss,Staff,Staff: General,"Sarah, incredible thank you.",3
ss,Staff,Staff: General,"Heidi is fantastic and is great at her job, she has involved me and educated me along the way and catered to my strengths to enable my growth and healing.",29
ss,Staff,Staff: General,"Ryan, is excellent at making me feel comfortable and calm. He opens up my mind to rationalize things.",17
cm,Care received,Medication ,Medicine I received was good.,4
ss,Staff,Staff: General,Tracey was my CPN and her care was excellent .,9
ss,Staff,Staff: General,All really good especially Dr Chris and nurses Karen.,8
ce,Care received,Emotional care,Since I have moved back from Manchester I have had a good response. Roger was great for phoning me when I'd moved and Zoe made me feel understood and I'm really happy that I'll see her every six weeks. I was able to be honest with her about how I've been feeling. ,52
cc,Care received,Care received,"All good, very good service.  Thank you.",7
da,Dignity,Respect For Diversity/ Person-Centeredness,I would like to know the name of the person who is coming to my house beforehand,16
ss,Staff,Staff: General,I would to thank all the team including Richard,8
sa,Staff,Attitude Of Staff,"All the staff there are really friendly and Dr Ryan Lawty is fantastic, he is really helping me to work through my problems.",22
xs,Miscellaneous,Surveying,153 characters is nowhere near enough space to explain the suggestions to do better. Try calling me I guess for that feedback.,21
cc,Care received,Care received,I was made to feel at ease throughout the appointment.,9
ss,Staff,Staff: General,As usual the staff was excellent and helpful and would do anything for you. Made a few friends from my stay on the ward. My husband visiting was excellent.,28
xn,Miscellaneous,Nothing to improve,Absolutely nothing was good about this service.,6
mm,Communication,Communication,"The way everything was explained, and listening to us all, and helping with all our questions and making it easy to understand.",21
mm,Communication,Communication,"Communications were always excellent with mum, who you were treating, and my brother and myself as her carers. We were always involved in mum's care and any decisions. We were all informed of the care plan and what the targets were. Doctors were brought in as required at the right time when we or the team were worried about the situation. The support of the team was fantastic, we had full trust in the care being provided. Thank you.",78
xe,Miscellaneous,Everything was good/bad,"Everything, top notch!",2
ss,Staff,Staff: General,"The reception staff were always really lovely, on the phone.",9
xn,Miscellaneous,Nothing to improve,Nothing. I wouldn't ring again.,4
ss,Staff,Staff: General,"Still being able to open my hand.
The staff who saw me was alright.",12
ss,Staff,Staff: General,"My condition has improved considerably, thanks to the physiotherapy. The therapist (Gaynor) was excellent at explaining the exercises, and talking me through and being patient with me.",26
sa,Staff,Attitude Of Staff,I was put at ease every step of the way. Everything was clearly explained and all of the staff were friendly.,20
ca,Care received,Activities,"The activities on the ward were good. Crafts sessions were very relaxing and therapeutic. I really enjoyed the sessions. The staff are brilliant at looking after you, and making sure you know about your treatment plan. Lisa the activities coordinator was loving, as she washed and drying my hair when I was poorly. I wasn't in the mood to do it myself but she encouraged me to let her do it, and I felt so much better in myself. Staff are great.",81
ss,Staff,Staff: General,"The ward staff are lovely at caring for the patients on the ward, even though they are extremely busy. Felt very welcomed when I came to the ward.",27
ss,Staff,Staff: General,I was grateful for the ladies that got me my newspaper every day.,12
ss,Staff,Staff: General,"Personal things that staff do for you mean everything to you, when you are ill. Office staff walking past saying hello, means a lot, too. Staff are very helpful and caring, meals are very well, the ward staff do very well in the situation we are in at the moment with COVID.",51
ss,Staff,Staff: General,"The 2 nurses are very good, very helpful, very clear, very friendly, and nothing is too much trouble.",17
sa,Staff,Attitude Of Staff,"Jane is patient when she comes to see my son, and understands his needs. She trying to help best she can, under the present circumstances.",24
ca,Care received,Activities,"Activities are good, colouring, painting. Food has been good.",8
ce,Care received,Emotional care,"It's good to calm down, and put yourself back in check.",10
ds,Dignity,Feeling safe including bullying,Keeping me safe and healthy.,4
mi,Communication,Amount/clarity of information,"The way the information was delivered was very good. Confidence in the way it was delivered was superb. And I truly learnt so much. I came away from listening and taking part in the group of us very educated. And a sense of 'I can change, anyone can change'.  Thank you so much.",53
mi,Communication,Amount/clarity of information,Very informative & understanding.,3
mm,Communication,Communication,Explained how it would feel.,4
ce,Care received,Emotional care,"Spoke to me, asked if was ok.  Very good people.",10
mm,Communication,Communication,You communicated with me and told me the procedure.,8
cc,Care received,Care received,Very reassuring and told lots of information.,6
ss,Staff,Staff: General,They were very lovely and helped me to calm my nerves.,10
cc,Care received,Care received,Quick and painless.,2
mi,Communication,Amount/clarity of information,Make sure that I knew what the vaccine helped with.,9
mm,Communication,Communication,Kept conversation while they did the jab.,6
mi,Communication,Amount/clarity of information,They explained what they were doing to me.,7
sa,Staff,Attitude Of Staff,The people were friendly.,3
sa,Staff,Attitude Of Staff,"Very, very friendly.",2
dd,Dignity,Dignity: General,Privacy was protected and the jab was explained.,7
mm,Communication,Communication,Explain what it was.,3
cc,Care received,Care received,"Explained what would happen .  Told me what if anything was wrong, to tell teachers.  Very respectful and nice and were easy to talk to. ",27
mm,Communication,Communication,People who are scared can speak to them in private.,9
mm,Communication,Communication,They explained what it was for and made sure I was ok.,11
mm,Communication,Communication,"Communicated, asked about me trying to distract me.",7
cc,Care received,Care received,I felt calm and well.,4
cc,Care received,Care received,At explaining to look away if you are scared.,8
mm,Communication,Communication,Communicated well and listened to me.,5
mm,Communication,Communication,Communicated well and told me when the needle was going in.,10
mm,Communication,Communication,Ask if we had any questions.,5
cp,Care received,Physical care,People who are scared to have it should of got some numbing cream so it's not that bad.,17
cp,Care received,Physical care,Got my leg to a healing point.,6
mm,Communication,Communication,Good questions.,1
sa,Staff,Attitude Of Staff,The nurse was kind and funny and listened to my story and gave me some great advice.,16
sa,Staff,Attitude Of Staff,"Very personal and friendly.
Doing the service face to face is great.",10
xe,Miscellaneous,Everything was good/bad,Everything else.,1
mm,Communication,Communication,"Everything was explained clearly. 
Kind. ",5
cc,Care received,Care received,Very impressed. ,2
ss,Staff,Staff: General,The way staff help and was caring in my stay. ,10
ss,Staff,Staff: General,"People cared. 
Faye is wonderful. 
Many thanks to Fred.",8
cs,Care received,Advice and support,Helping with any concerns raised around my conditions and ongoing support. ,11
cs,Care received,Advice and support,"The support and comfort I received from all the staff at the hospice.  Staff went beyond and above in helping and supporting me.  Nothing has been too much trouble at all. 
Everybody has been so nice. 
Without the support from the hospice I would not have got where I am today. ",53
cs,Care received,Advice and support,"Support.
Advice. ",1
cc,Care received,Care received,Just that the way they look out for me and care for me too.  And they listen to me when I have a problem. ,25
sp,Staff,Professionalism/Competence Of Staff,"Very professional.
Very helpful caring staff.",4
cc,Care received,Care received,"The complete service - very friendly, very helpful.",7
xe,Miscellaneous,Everything was good/bad,"Everything.
Very helpful. Answered all questions",4
mm,Communication,Communication,"Georgeanna proved to be professional in all departments; a good communicator with an honest appraisal and effective analysis.  The admin staff proved equally capable.
The service I received was professional, caring and efficient.  Directions and communication were clear and effective.  Examination was comprehensive.  ",46
cp,Care received,Physical care,Fast to follow exercise plans which worked.,6
sa,Staff,Attitude Of Staff,Kind.  Perfect.,2
xe,Miscellaneous,Everything was good/bad,"Everything was ok, explained what I was having.",7
cs,Care received,Advice and support,I am very happy with the support I have received. ,10
ce,Care received,Emotional care,"Very good service, Lets Talk, it helps a lot to talk when you have a lot on your mind. 
So good and helpful, Lets Talk cos sometime some people are weaker than others and you don't know what some people are thinking could be good and could be bad,",48
sa,Staff,Attitude Of Staff,I had a telephone conversation with Lisa. She was very kind. ,11
cc,Care received,Care received,It was very helpful. Thankyou ,5
cs,Care received,Advice and support,"I found it very helpful, with some useful advice about changing routine and lifestyle.",13
cc,Care received,Care received,I miss the service very much. Very helpful.,7
cc,Care received,Care received,"The service was beyond what I expected, it was as if I knew the person I was talking to. It was excellent. ",22
cc,Care received,Care received,Experience with well being is spot on. Thankyou ,8
ap,Access,Provision of services,I have been offered CBT. ,5
cc,Care received,Care received,It has been good but I think that my anxiety is getting on top of me. ,16
ml,Communication,Listening,Very good at listening to my problems + helped me understand the different treatments.,13
cs,Care received,Advice and support,I really looked forward to the support Laura gave me. ,10
sa,Staff,Attitude Of Staff,"My person who spoke to me every week was very helpful and friendly. I felt I could tell her everything that was bothering me, she helped me get through a very bad time.",32
sa,Staff,Attitude Of Staff,Lovely therapist who is very kind & warm.,7
cs,Care received,Advice and support,Very helpful at a difficult time.,5
cc,Care received,Care received,This was my first experience but happy beginning.,7
mm,Communication,Communication,Isobel was lovely to talk and explained everything. I found her very easy to talk.,14
ce,Care received,Emotional care,I found it very helpful to talk to Sharon she was understanding and listened. It was just what I needed. Thank you very much.  ,25
sp,Staff,Professionalism/Competence Of Staff,"My Therapist Megan was always very professional, very easy to speak with whilst ensuring that I was always comfortable with out sessions. I would not hesitate in recommending Megan as a PWP as I feel she carried out her role in a very caring and processional manner. ",47
cc,Care received,Care received,"I felt I had a really thorough session with Felix. It was very upsetting to share what had happened, but also a little help to talk about it.",27
ss,Staff,Staff: General,"I found the assessor fair and easy to talk to, as I need simple sentences broke down in simple steps to understand, as I easily get distracted with going blank and can't hear anyone when they speak.",36
cc,Care received,Care received,Helpful and reliable.,2
ce,Care received,Emotional care,I felt completely at ease during the whole conversation. I was offered excellent advice and felt free to voice my opinions and feelings. I was very pleased with the service offered and outcome.,32
cc,Care received,Care received,Mostly satisfied with the help that was given.,7
ml,Communication,Listening,"I feel that he has listened and tried to support me, I feel that I understand my anxiety a little bit better than before. ",24
mi,Communication,Amount/clarity of information,The service has help me to get better understanding and the booklet has helped me.  Staff are very good and helpful.,21
ss,Staff,Staff: General,I have only had the initial assessment so far however the therapist was lovely and advised me of the appropriate options applicable to me in detail. Thank you. ,28
ct,Care received,Therapies,The therapist was exceptionally good in giving me a understanding on how I could manage my anxiety and depression,18
cc,Care received,Care received,I've only had an initial assessment but Scott made me feel very comfortable and he was easy to talk to and supportive.,21
cc,Care received,Care received,"I have tried counselling on and off on a few occasions over many years but it hasn't been very successful. However my initial assessment on 6/11/20 with Tanya, was very beneficial and thorough. ",33
ss,Staff,Staff: General,"The therapist was very helpful, so happy that I have finally been given chance to continue treatment and not been left to cope alone again. ",25
