,code,label,subcategory,feedback,space,sentiment_score,sentiment tag,Human eva
4648,co,Care received,1-2-1 care/Time spent with service user,Prefer doing face to face rather than paper through the post.  I think that there would be more chance of the exercises being done more regularly.  I told the physio what I could and couldn't do and he just said he would send exercises out.,46,0.3167,pos,neg
7269,cm,Care received,Medication ,Quicker with antibiotic.,2,0,neu,neu
1433,sa,Staff,Attitude Of Staff,Some of the staff were kind and helpful. So glad to be leaving the ward.,14,0.8588,pos,pos
2114,ss,Staff,Staff: General,"Once I was with Sheryl, I had excellent service/care. ",9,0.5719,pos,pos
11369,sa,Staff,Attitude Of Staff,"Fabulous!  
Friendly, enthusiastic and motivated team who were so organised. The children have loved these sessions, given them chance to shine, and the crafts have been gorgeous too!  
Thank you!!",31,0.9785,pos,pos
7165,xn,Couldn't be improved,Nothing to improve,"Nothing, a great experience",3,-0.5096,neg,pos
153,ef,Environment/ facilities,Food,The food needs improving drastically. ,5,0.4215,pos,neg
9857,xn,Couldn't be improved,Nothing to improve,"Nothing, apart from the food.",4,0,neu,neg
7809,sa,Staff,Attitude Of Staff,Very helpful and friendly staff,4,0.762,pos,pos
6843,sp,Staff,Professionalism/Competence Of Staff,"It’s because that doctors, nurses help me",6,0.4019,pos,pos
8504,ds,Dignity,Feeling safe including bullying,"I felt save during covid. I witnessed all staff wearing masks,wiping down areas etc. They were very welcoming on arrival. Sister * in particular made me feel less anxious about being here. Everyone was very nice and always asked if I needed anything every so often. Considering the pandemic crisis I did not once feel unsafe or uncared for. All staff members seem to get on which is always lovely to witness. There was not one member who didn’t seem like they did not want to be here from nurses to porters. All took amazing care of me. I would be very happy to stay in their care again. Excellent ��������������❤️��������� 10/10",111,0.9811,pos,pos
12100,sa,Staff,Attitude Of Staff,"Everyone who has visited from IRIS has shown care, compassion and patience. There have been various teams visiting my mum in the past but you are like no other.",28,0.5499,pos,pos
2447,ss,Staff,Staff: General,"It went really well! I wasn't able to do a lot of the service but what I was able to do really helped me out by making me think differently and being able to handle my anxiety a lot more better, as my counsellor helped me to realize the cycle that I was going through.  She also helped me to think differently by breaking the cycle of my thought process that I went through I was very happy to realize what my cycle was making me think and feel as I was able to work on it in a different way to help stop the triggers for me, I love having a whole knew thought process.  The service has helped me out so much more I feel a lot more confident and happy within myself I am very happy that I am a lot more at peace with this now and I'm very grateful that I had a great counsellor to help me with this situation that I was going through, I am now going onto bigger things myself as I am going to get my functional skills so that I can work in the future. I'm very excited for everything that's going to happen next for thank you to Chang Lu for helping me out to be more confident and everything else that she has done for me too. ",232,0.9971,pos,pos
7131,sa,Staff,Attitude Of Staff,Nothing everyone was lovely,3,-0.4717,neg,pos
1971,cc,Care received,Care received,"Explained what would happen .  Told me what if anything was wrong, to tell teachers.  Very respectful and nice and were easy to talk to. ",27,0.7316,pos,pos
2086,cm,Care received,Medication ,Dr P is very good at getting prescriptions out on time.,10,0.4927,pos,pos
12218,cs,Care received,Advice and support,"Hi. I have been under secondary mental health services at the Stonebridge Centre for a few years now.  
I had an appointment recently with the mental health nurse that I am under. This person reviews me every few months.  
I suffer from emotionally unstable personality disorder. In the appointment, I had described my struggles coping with change in my treatment with occupational therapy. I struggle with change. I struggle dealing with feelings of abandonment.  
Toward the end of the appointment the nurse questioned if being under secondary mental health services was right for me at this time. They suggested that being in the service keeps me in ""sick mode"".  
This triggered me quite badly. The nurse observed this. I became really tearful and disconnected because it triggered a lot of intrusive thoughts.  
Unfortunately for me this was 5 minutes before the appointment ended.  
I don't question their motives for asking these questions. They are the professional and might be right in what they are saying.  
What I found completely unacceptable, was ending the appointment with me in the state I was in. I was extremely vulnerable and felt judged and dismissed. Being left to deal with this on my own should not have happened. If I had been in this state at home, triggered by something else, it would have been a time I reached out for support from the centre. But how could I when they caused it and dismissed me?  
I don't know whether it is wrong for me to expect the nurse to sit with me to ride out the emotions while they were so intense? I don't think it's alot to ask or to expect.  
I am now left untrusting of the centre whilst I'm in a very vulnerable state of mind.  
I hope this doesn't happen often in this centre. They are meant to be the ones who help in these situations. Not cause them.",329,-0.9157,neg,neg
10392,ss,Staff,Staff: General,"When I had my baby I struggled a lot in the first few months. I suffered from postnatal depression and very bad anxiety; I hardly left the house.  
I was assigned a family support worker, Emma. She was fantastic and a massive help. She helped me go to groups and meet other mums and babies. I was anxious that I didn't have a very good bond with my baby so Emma came and did baby massage with me, which is fantastic; it is now part of our daily routine.  
She also helped me with various other activities to get me out and to grow my bond with my baby. During this time I was made redundant and Emma helped me to create a CV through the sure start centre, she also helped me to gain access to information about any benefits my family may be entitled to. She is a brilliant listener and is very understanding.  
I never felt I was being judged. She never seemed like she was doing any of it because it was just a job for her, it seemed she was doing it because she cared. I can not fault any of the facilities provided by the sure start centre all the staff are very friendly and helpful.",214,0.9639,pos,pos
2004,cc,Care received,Care received,It was very helpful. Thankyou ,5,0.4754,pos,pos
8199,ss,Staff,Staff: General,"Date of discharge 01/03/2020 Most of the staff were amazing, but a few of them weren’t as great. All in all a great stay ( the night staff were amazing ) ps thank you so much for the side room it helped us a lot at this time ☺️",48,0.9754,pos,pos
11494,sl,Staff,Staffing levels,The one problem here at the moment is our Therapy getting cancelled due to low staffing numbers on the wards and then the Therapy Team having to go to wards to make up Staffing Numbers.,34,-0.7003,neg,neg
45,xn,Couldn't be improved,Nothing to improve,I don’t think so.,3,0,neu,neu
8628,ee,Environment/ facilities,Environment/ facilities,Less noise at night.  Buzzers taking to long to answer.,10,0,neu,neg
4299,cr,Care received,Rules/approach to care,"BeIng gIven a tIme slot or expected tIme eIther (AM/PM)  would be better.
 
",14,0.4404,pos,neu
5139,cc,Care received,Care received,"The service was very good, I was happy with the whole experience.",11,0.7996,pos,pos
11450,cs,Care received,Advice and support,"- good to look at 'when & then' to encourage wanted behaviour  
- interesting to see the age related jobs my children can do they are so proud with the praise from a job well done.",36,0.9558,pos,pos
2483,ss,Staff,Staff: General,"I know Marie, she is alright and easy to talk to.",10,0.5994,pos,pos
5240,ct,Care received,Therapies,Therapy all good.,2,0.4404,pos,pos
8860,xn,Couldn't be improved,Nothing to improve,No,0,-0.296,neg,neu
267,xe,Miscellaneous,Everything was good/bad,"Everything really.  Improvement in attitudes as not everyone here is faking it, neither or are mamber heads.  And help people to detox when coming in. ",27,0.4927,pos,neu
9523,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
3165,sp,Staff,Professionalism/Competence Of Staff,"Extremely professIonal servIce, very InformatIve, chIld focussed. Thank you XXXX",9,0.3612,pos,pos
7424,sa,Staff,Attitude Of Staff,Staff was good,2,0.4404,pos,pos
9062,cc,Care received,Care received,"Not really, my child is still alive because of everyone’s combined efforts.",11,0.3818,pos,pos
6779,ce,Care received,Emotional care,I was happy most times with staff always to reassure  Me I was in good hands,16,0.8402,pos,pos
3955,cc,Care received,Care received,"My care was excellent, couldn't have been better.",7,0.6698,pos,pos
612,ml,Communication,Listening,"Listen to the patients more, and let them know what's happening about their care.
I felt, as I was locked away and wasn't getting any feed back from my named nurse, and the only person that would talk to me was the staff that were on the floor, if I went to the office they wouldn't speak to me as they were too busy to talk to me. ",67,0.4939,pos,neg
1497,ap,Access,Provision of services,Good that they're there. ,4,0.4404,pos,pos
2855,cp,Care received,Physical care,BIg Improvement In paIn and mobIlIty from start to fInIsh.,9,-0.0772,neg,pos
3116,cc,Care received,Care received,"Excellent servIce from XXXX, heart faIlure nurse.",6,0.1027,pos,pos
10171,ec,Environment/ facilities,Cleanliness,"The room could have been cleaned before I got in, also some times the staff would be a little bit loud at night however this happened rarely but my room was right next to office so I understand that there won’t be complete silence.",43,0,neu,neu
4085,xn,Couldn't be improved,Nothing to improve,NothIng,0,0,neu,neu
9579,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
10882,cl,Care received,Made A Difference To My Life,"When Julie first came to us in January my 11 month old was still like a 6 month old baby but since having Julie come and support us my baby girl has come on loads. Shes now eating food rather than formula, will sit play and interact with us. Shes such a happy little girl now who doesn't seem like a baby but a toddler. So thank you very much for coming out and supporting us.  
All our best wishes.",80,0.986,pos,pos
4641,cc,Care received,Care received,Positive care and assistance.  Feel much better for the help given.,11,0.9081,pos,pos
5503,cc,Care received,Care received,"Very helpful and friendly, approachable about any problems.",7,0.5936,pos,pos
9476,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
9273,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,nue
12059,sa,Staff,Attitude Of Staff,"It's been nice to work with the therapists and get better bit by bit. They've given us exercises on paper and that's helped because it's hard to remember everything. We've looked up some exercises on you tube because some of them are paper are hard to understand but watching the videos helps.  
He's not back to normal - his vision and getting about aren't the same and he gets frustrated that he can't do what he used to - he never got frustrated before.  
His eating and drinking are back to normal and that's nice.  
Kirsty, Rhea, Bev, Shelley and Margaret have all been kind and patient and good to work with.",114,0.8834,pos,pos
3222,ef,Environment/ facilities,Food,Food lovely all the tIme.  Staff wonderful and patIent.,9,0.8176,pos,pos
3561,cs,Care received,Advice and support,"I feel very supported by the team.  Would like to thank XXXX, Admin, also for her support In orderIng equIpment.",20,0.8516,pos,pos
4751,al,Access,Location,Saves time having to get to hospital.,6,0,neu,pos
3909,cs,Care received,Advice and support,Lots of ideas to try at home.  Approachable staff-invaluable advise.,10,0,neu,pos
3902,ml,Communication,Listening,Listened to my concerns and worries without judgement.  XXXX has been very supportive.,13,-0.079,neg,pos
3556,cs,Care received,Advice and support,"I feel that although the journey for my son has been a long one, I feel that now my son is gettIng the help and support that he needs and I am hopIng that thIs helps wIth us future.",38,0.8689,pos,pos
4295,cs,Care received,Advice and support,"I think it would really help people with anxieties, with techniques.",10,0.3384,pos,pos
1402,cc,Care received,Care received,Looking at my height and weight.,5,0,neu,neu
3296,cs,Care received,Advice and support,GIves Good helpful advIse and strategIes.,5,0.6908,pos,pos
10725,dd,Dignity,Dignity: General,"A friend of mine who is also under mental health services, requested a copy of her medical notes. When she received them there were some entries in her notes that named me directly and the comments were very derogatory. I was really surprised that my name had appeared in someone elses notes and that they were then shared with my friend.  
Her CPN had written that I was angry, anti services, engineering and worse of all malevolent which basically means evil. This person does not work with me directly and has not met me directly over the period they wrote the comments about me and it has been very distressing and triggering for both me and my friend to find such comments in her notes  
If anyone read these comments they would have a very poor view of me which is untrue.  
I have written to the CPN to ask for an explanation a few weeks ago but have had no response at all. I had hoped that we could talk through why they had such a poor view of me  
I have also written to the Trust to complain about a breach in data protection. Notes were sent to a third party with my full name on them without my consent. The ICO have advised me that this is a serious breach of data protection. I have had no response so far  
This has had a detrimental effect on my mental health making me paranoid - does everyone think I am evil? It has also had an impact on my friendship which has been very distressing for me",273,-0.9466,neg,neg
4519,cc,Care received,Care received,Offers a good service.,3,0.4404,pos,pos
8564,mi,Communication,Amount/clarity of information,Information re discharge.,2,0,neu,neu
5049,mi,Communication,Amount/clarity of information,The lady I spoke to was very informative and I feel I could talk to her again if I needed to .,21,0,neu,pos
7698,ss,Staff,Staff: General,Think you are all marvellous and put up with a lot.,10,0,neu,pos
9233,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
8771,xn,Couldn't be improved,Nothing to improve,No,0,-0.296,neg,neu
10137,cc,Care received,Care received,"The care my sister has received has been excellent, we were greeted very pleasantly when we arrived.",16,0.908,pos,pos
4469,ss,Staff,Staff: General,"No, always excellent nurses.",3,0.3612,pos,pos
9684,xn,Couldn't be improved,Nothing to improve,Nothing been happy with everything,4,-0.4585,neg,neg
2375,mm,Communication,Communication,"Communication nice and quick, very polite.",5,0.4215,pos,pos
9184,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
299,da,Dignity,Respect For Diversity/ Person-Centeredness,"This was the most unpleasant, unhelpful and stressful experience I have been through and I am left feeling worse than I was. Feel like the CPN didn't care, was patronising, judemental and threatening. This is not acceptable when you are supposed to be supporting vulnerable patients. Would certainly not recommend this to anyone. Its not worth the upset and stress.",59,-0.9297,neg,neg
7142,xn,Couldn't be improved,Nothing to improve,Nothing it was perfect,3,-0.4585,neg,pos
3526,cc,Care received,Care received,I could not have had any better treatment.,7,0.4404,pos,pos
12006,sp,Staff,Professionalism/Competence Of Staff,"Parent has written that the biggest difference Baby Massage made was she ""learnt to slow down during nappy change and bath time, and incorporate massage to make a more pleasant experience.  
Tracey was very knowledgeable and approachable during the course.""",40,0.5563,pos,pos
10478,ss,Staff,Staff: General,Home Talk helped me and my son Loads. Zoe was fantastic and Zachery loved seeing her every week. She gave us loads of good ideas and tips on how to get Zachary talking and really made a difference and helped him come along.,42,0.886,pos,pos
2920,mm,Communication,Communication,CommunIcatIon was very Good.  The care was extremely Good.,9,0.8705,pos,pos
9300,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
5267,sa,Staff,Attitude Of Staff,They were very nice and informative.,5,0.4754,pos,pos
1608,sa,Staff,Attitude Of Staff,Care and compassion during this current pandemic. ,7,0.7351,pos,pos
10110,sa,Staff,Attitude Of Staff,Staff were very helpful,3,0.4754,pos,pos
9090,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
4035,cc,Care received,Care received,Can't praIse you enough can't Improve anythIng more than excellent,9,-0.0904,neg,pos
2105,ss,Staff,Staff: General,"Dr Piotr is amazing and I'm so grateful to have him as my psychiatrist, I would not be here without him! ",21,0.8384,pos,pos
12269,cc,Care received,Care received,"Arrived early for my appointment at Millbrook in Mansfield.  
They called someone in before and spoke with her for 10 minutes, before realizing they had the wrong client and said I was the person they had an appointment for.  
We made a plan to have regular phonecalls until I could speak to a doctor to discuss my diagnosis. In a month and a half, I've had one 5 minute phone call.  
I called them yesterday for an update as I've been on a waiting list since August 2019 and I was informed they had tried calling 9th October (but that there is a note on their system that I work shifts and to try again) and no further attempt has been made.  
I feel forgotten and neglected.",130,-0.8625,neg,neg
2100,ss,Staff,Staff: General,Dr Bhogal was brilliant with me.  The reception team were also always helpful and overall it was a good experience,20,0.8591,pos,pos
2254,ss,Staff,Staff: General,"Made stay pleasant.  
Staff helpful. ",6,0.7269,pos,pos
1467,ml,Communication,Listening,"That I was listened to about my feelings and staff were also positive, supportive and reassuring. ",16,0.8176,pos,pos
11769,ce,Care received,Emotional care,"Good. Alright, get on with everyone. I like going out with you (Health appt). I like going with somebody, I like someone with me (Health appt). Makes me feel better. I'd get lost without someone, its a big place.",38,0.9001,pos,pos
8211,tx,Transition/coordination,Transition And Discharge,Discharge system is a shambles. Waited 6 hours for tablets.,9,0,neu,neg
5488,cc,Care received,Care received,Very happy with the service the Grange provided for XXXX.,9,0.6115,pos,pos
11078,cl,Care received,Made A Difference To My Life,"I have found the Elklan Lets Talk course to be amazing! I was at first concerned about my child's speech however since doing the course his talking as come on considerably. He seems a lot more confident within himself and I am a lot more confident as a mum supporting his language and development. It as also been beneficial to the whole family because we will also be able to support any future children's communication and language. I have been sharing tips with Daddy and Grandparents who are also supporting my son's language. He was saying very few words before this course but now he is saying many more ! He is a lot more enthusiastic with his talking and as become a babbly chatterbox. I now have no concerns about his speech because I now have the right tools to support him.  
Amazing course, thank you very much!",149,0.9823,pos,pos
3310,cc,Care received,Care received,Good care and Good staff.,4,0.8402,pos,pos
8261,ss,Staff,Staff: General,"Everything is going well, nurses are great",6,0.7351,pos,pos
3344,cc,Care received,Care received,"Good servIce, no complaInts.",3,-0.25,neg,pos
4141,dd,Dignity,Dignity: General,"Absolutely brIllIant on thIs ward cared wIth respect and dIgnIty from day 1.  Made to feel safe, treated lIke frIends and belIeve you have got frIends for lIfe, do not want to leave thIs lovely ward.  My only nIggle Is that there Is no desIgnated smokIng area for patIents to go unless you vape and there Is an area for that but not for patIents.",66,0.9171,pos,pos
1909,ss,Staff,Staff: General,Dr Davis and all the team. Thanks. GOD BLESS ALWAYS.,9,0.8506,pos,pos
5802,ml,Communication,Listening,"XXXX and XXXX were very good. They listened to me and understood my moods, and supported me during my crisis. With the right medication I am able to live with my health problems. Thank-you to the team.",36,-0.3197,neg,pos
3827,ml,Communication,Listening,It was a phone consultation and I felt really listened too.,10,0,neu,pos
10508,sa,Staff,Attitude Of Staff,My daughter has come to Park House for treatment over a period of months. &nbsp; Staff have been very supportive and caring towards us and always very clear about procedures. &nbsp; It has been made a lot easier for my daughter being able to receive her treatment here.,47,0.8922,pos,pos
4883,sa,Staff,Attitude Of Staff,"Staff were very nice. They all work hard, very happy with all care received.",13,0.8716,pos,pos
629,ap,Access,Provision of services,See me again to give me more advice.,7,0,neu,neu
9111,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
8625,ee,Environment/ facilities,Environment/ facilities,Less noise at night.,3,0,neu,neu
12032,mi,Communication,Amount/clarity of information,I was given lots of information regarding foods for baby. I will be trying baby led weaning. Thanks for the information given during this course.,24,0.4404,pos,pos
1627,ca,Care received,Activities,"Keep us busy with activities, nurse led care about well-being hospital makes us feel better to move us on!",18,0.75,pos,pos
7488,sa,Staff,Attitude Of Staff,"Such friendly staff, makes the experience so much easier",8,0.7414,pos,pos
12060,cs,Care received,Advice and support,"Our son has always showed delayed speech, this was picked up on our 2 year review.  
After discussing the options we decided with the health visitor to proceed with home talk.  
Then we met Hazel, she has helped us develop his speech in so many different ways.  
In a time of worry and uncertainly with our child Hazel was quick to reassure us and teach us the correct way to ease him into speaking.  
We are not where we need to be but have come such a long way, Hazel has now referred our son so we have been 'passed over', however Hazel has always been quick to reassure us never to hesitate to contact her with any questions or queries.  
Thank you hazel.",128,0.7858,pos,pos
7442,ss,Staff,Staff: General,Staff were attentive to my needs from the offset and made me feel comfortable,13,0.5106,pos,pos
11125,sa,Staff,Attitude Of Staff,"Doctor was friendly and professional, we don't have to wait on our appointments. &nbsp; Thanks",14,0.7269,pos,pos
12254,sp,Staff,Professionalism/Competence Of Staff,Incontinence service is wanting to change my disabled son's pads to unacceptable other sort.My son is in a residental home and was told he had to have an incontinence assessement he is 20 yrs old and had the pull up pants for 5yrs they meet his needs and dignity and enable him to progress ie pull them up or down. The nurse that did the assessment started by saying we could not have this product and my son had to go to taped pad which he had tried years before and were unsuitable My son wasn't even seen in person and they were very abrupt. I asked who to complain to and was told that they didn’t know because no one had before. Disgraceful service.,124,-0.296,neg,neg
10959,ce,Care received,Emotional care,I feel very supported with the staff here and I am gaining better understanding of my mental health,17,0.807,pos,pos
8914,xn,Couldn't be improved,Nothing to improve,No,0,-0.296,neg,neu
97,sa,Staff,Attitude Of Staff,"Psychiatrist doesn't care about helping me get through this time in my life, doesn't understand me and communication is poor",19,-0.7661,neg,neg
4211,cc,Care received,Care received,"Care always exceptIonal, nurses always polIte.
InItIal poor communIcatIon between nurses and GP but now resolved
",14,0.2732,pos,pos
11249,ce,Care received,Emotional care,"Attended little talkers to help with my sons speech and attention and listening. I feel the group has helped with my sons communication and language and his confidence. The group has helped me learn different ways of helping him and communicating with him. Louise and Hayley have run the group well and given out lots of information, help and advice.",59,0.8878,pos,pos
10692,sa,Staff,Attitude Of Staff,Baby Massage. Very friendly and kind staff. Venue is always very clean. I always feel welcome. Thank you!,17,0.9427,pos,pos
360,eq,Environment/ facilities,Facilities/equipment,A D.V.D in the room would have great as there are only a few channels on the T.V. ,18,0.6249,pos,neu
5423,cc,Care received,Care received,Very good and kind service,4,0.7818,pos,pos
1629,cs,Care received,Advice and support,The way staff help you when your struggling.,7,-0.0258,neu,neu
3991,mm,Communication,Communication,Rang pt before vIsIt: Yes,4,0.4019,pos,neu
7580,cc,Care received,Care received,The reason why I say this is because my ward is non covid ward and all the patients are lovely even happier with the staff,24,0.802,pos,pos
3577,cs,Care received,Advice and support,I felt the Physio that contacted me was very good and clear with her instructions and advice.,16,0.7233,pos,pos
7477,sa,Staff,Attitude Of Staff,Staff were very nice,3,0.4754,pos,pos
109,ef,Environment/ facilities,Food,Make all emergency call buttons operation.,5,-0.3818,neg,neu
5990,ss,Staff,Staff: General,All staff are lovely from when you arrive to when you leave,11,0.5574,pos,pos
4146,cc,Care received,Care received,Mrs XXXX stated she is happy with the short breaks service and sad that XXXX has lost her health funding making her unable to use the service.,26,-0.1779,neg,neu
11418,cc,Care received,Care received,I would just like to thank the IRIS team for looking after my mum. I must say I dont know what I would have done without them. Such an amazing team. Very caring and friendly and I cannot thank the team enough. They are brilliant,44,0.9685,pos,pos
3455,mi,Communication,Amount/clarity of information,Helped understand what chIld deals wIth more.,6,0,neu,pos
2955,sa,Staff,Attitude Of Staff,DIstrIct nurses are lovely. Personal servIce makes a dIfference.,8,0.5859,pos,pos
12260,cc,Care received,Care received,"I was struggling with my mobility so had a referral to the Community Physio, the care that I received was outstanding, I was involved in all decisions about my care, I had a good experience the only thing that she couldn't do for me was get me a new body! ! !",51,0.9077,pos,pos
11046,ss,Staff,Staff: General,"Thanks to the staff, not only are my daughters teeth sorted she is no longer scared of the dentist. &nbsp; Thank you so much.",23,0.0772,pos,pos
5302,co,Care received,1-2-1 care/Time spent with service user,Thorough and what I needed.  I felt I had plenty of time to discuss my problem with staff member.,19,-0.4019,neg,pos
9112,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
9130,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
10548,ce,Care received,Emotional care,"The Sense of Community project has kept me busy and focused on Topaz Ward, even at my lowest. I have valued that it challenges my own motivation and that I have been working alongside those I care about. The few of us that have pulled together have got some satisfaction from it and we now have a nicely decorated ward for Christmas. I think we need more input to drive in some motivation. It is a hard ward to pull together. A lot of people don’t want to do things and we lack in motivation.",94,0.9432,pos,neu
3371,mm,Communication,Communication,Great communIcatIon and very helpful wIth InformatIon requIred.,7,0.8016,pos,pos
11498,sa,Staff,Attitude Of Staff,"T.I. Jackie always goes above and beyond her roll. She always does her best to insure Functions take place and nothing is too much Trouble for her and she always makes it Fun.  
Thank you",35,0.8074,pos,pos
4673,cc,Care received,Care received,Quick and easy,2,0.4404,pos,pos
2252,cc,Care received,Care received,"Meals have been good. 
The service has been good. 
The treatment from the doctors and staff. ",16,0.7003,pos,pos
6074,sa,Staff,Attitude Of Staff,All very kind and helpful,4,0.7755,pos,pos
1827,ml,Communication,Listening,Dr's and nurses have listen to my concerns and give me reassurance. ,12,0.3612,pos,pos
8158,mm,Communication,Communication,Communication about what is going on with me. I came in for a couple of nights and ended up staying at hospital for 10 days.,24,0,neu,neu
7447,ss,Staff,Staff: General,Staff were excellent,2,0.5719,pos,pos
3069,xe,Miscellaneous,Everything was good/bad,EverythIng was perfect for me.  Gave me confIdence.,8,0.7906,pos,pos
3357,mm,Communication,Communication,Good to be forewarned of vIsIt.,5,0.4404,pos,pos
12228,sa,Staff,Attitude Of Staff,"My father went into hospital as he felt dizzy on getting from his chair and his legs gave way. It turned out this was because he had a chest infection. When he got home after being checked over and given antibiotics he received a phone call from your team wanting to visit. He had already spoken to someone and said that he did not need any help.  
As it turned out this was ignored and someone who thought they knew better turned up at the door. I asked them what they wanted as my father had already made the decision that he didn't want anyone to visit. I explained this to this person, or tried, who then started accusing me of not having power of attorney so I couldn't make his decisions for him. This member of staff refused to listen when I said it was what he wanted. They then came into the house and proceeded to shout at my dad as if he was simple. Perhaps they should be taught how to speak and listen!",177,-0.716,neg,neg
8349,cc,Care received,Care received,"First attempt to take blood unsuccessful but then had to wait 2 hours for next attempt without explanation! All staff very friendly and helpful, with very kind support.",27,0.9606,pos,neu
9041,xn,Couldn't be improved,Nothing to improve,Nope �,1,0,neu,neu
11248,sa,Staff,Attitude Of Staff,"I think you’re lovely, you’re unique and I would adopt you if I were 30 years younger. I am really going to miss you, can’t you visit me forever?",28,0.5627,pos,pos
5812,cc,Care received,Care received,"XXXX has been absolutely great, the service has really been beneficial to me and I am confident moving forwards, I can prevent further issues.",23,0.8973,pos,pos
5846,ss,Staff,Staff: General,XXXX she has me as good as a nurse.,8,0.4404,pos,pos
5768,ap,Access,Provision of services,Wish it could last longer.,4,0.4019,pos,pos
5836,sa,Staff,Attitude Of Staff,"XXXX is very good, efficient, caring and makes you feel at ease.",11,0.9049,pos,pos
11235,cs,Care received,Advice and support,"Tarnia is very good support for deaf people, I would be lost without her.  
Problems with heart surgery and PA she has helped me with. She has tried to help get my depression back to normal by helping me with my tablets, if I hadn’t met her I wouldn’t have bothered.  
It’s very important support for Deaf people.  
I felt lost without my previous nurse",67,0.7783,pos,pos
9984,ss,Staff,Staff: General,Overnight staff didn’t introduce themselves.,4,0,neu,neu
7546,cc,Care received,Care received,The excellent service look after all your needs.,7,0.5719,pos,pos
2169,cr,Care received,Rules/approach to care,I was given the chance to express any concerns.,8,0.25,pos,pos
9748,xn,Couldn't be improved,Nothing to improve,Nothing I can think of,4,0,neu,neu
6477,xe,Miscellaneous,Everything was good/bad,Excellent care from start to finish,5,0.7845,pos,pos
8746,ss,Staff,Staff: General,Name badges for staff.,3,0,neu,neu
10744,co,Care received,1-2-1 care/Time spent with service user,I am happy with the service received it has helped my family. I appreciate the time given and support received. It has made a positive change for my child.,28,0.9136,pos,pos
7697,ss,Staff,Staff: General,Think everyone has been wounderfull,4,0,neu,pos
5510,sa,Staff,Attitude Of Staff,Very helpful and informative.,3,0.4754,pos,pos
1015,cc,Care received,Care received,Content and presentation.,2,0,neu,neu
11629,cl,Care received,Made A Difference To My Life,I feel like they have helped me take control back in my house and for me and my kids to have a better life. With them I now feel like I can take my daughter out and not worry how I'm going to manage how she will behave. I feel like they couldn't do any more than they have done I'm so glad I asked for help because the support I have had has made me feel like I can cope.,80,0.9704,pos,pso
5312,cr,Care received,Rules/approach to care,"To improve I would look at things people with dementia like to do i.e.  sit in the sun, play cards or pool let them lay on their beds and have picture if they want them.",35,0.7964,pos,neu
4901,cr,Care received,Rules/approach to care,"Talk on subjects rather than paperwork to read, more interesting exercise to music.",12,0.4576,pos,pos
9375,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
4886,ss,Staff,Staff: General,Staff who used to work in unit is back - pleased to see her.,13,0.4404,pos,pos
3600,cr,Care received,Rules/approach to care,"I found the sessions fun, friendly, informative and very beneficial.",9,0.8655,pos,pos
3115,sa,Staff,Attitude Of Staff,Excellent servIce from the staff members. They are very FrIendly and carIng.  She saId that I made very Good progress wIth the care that was provIded.,26,0.9644,pos,pos
8633,tx,Transition/coordination,Transition And Discharge,Let me go home quicker.,4,0,neu,neu
9511,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
2438,ml,Communication,Listening,The Lady who spoke to me on the phone on my first appointment was a good listener and gave me time to express myself. She then suggested doing some online course on stress management and told me about some talking forum which is due in July. I have started the E-learning course. She explained to me how to login.,58,0.0258,neu,pos
5345,cc,Care received,Care received,V good,1,0.4404,pos,pos
10873,cr,Care received,Rules/approach to care,Lovely Little Group. Enjoyed coming every week. Helped my son socialise more and join in as he doesn't like big groups so this one was nice for him. &nbsp;,28,0.8747,pos,pos
993,sa,Staff,Attitude Of Staff,Felt safe as people wearing masks. Everything clean. Staff friendly.,9,0.8316,pos,pos
1935,xs,Miscellaneous,Surveying,153 characters is nowhere near enough space to explain the suggestions to do better. Try calling me I guess for that feedback.,21,0.4404,pos,neu
2067,ml,Communication,Listening,"The listening to my needs, and giving me additional medicines, to improve my anxiety and depression and sleeping problems.",18,-0.4215,neg,pos
8922,ss,Staff,Staff: General,No comment all was lovely,4,0.3818,pos,pos
8329,ss,Staff,Staff: General,"Fabulous staff team, at all ranks.  Personalities are allowed to show which makes the stay far more personal!",18,0.5707,pos,pos
1256,cc,Care received,Care received,Explored each question and answer.,4,0,neu,neu
10435,sa,Staff,Attitude Of Staff,"very friendly staff (Jane & Tracey) really happy and help out with my daughter (eg when needing to collect bottle, one of them will hold my daughter)  
fab group too!  
Thank you",33,0.9455,pos,pos
